,,,,,,
,-4.000,-0.1916,,,,
,-3.750,-0.1628,,,,
,-3.500,-0.1331,,,,
,-3.250,-0.1060,,,,
,-3.000,-0.0784,,,,
,-2.750,-0.0517,,,,
,-2.500,-0.0252,,,,
,-2.250,0.0015,,,,
,-2.000,0.0283,,,,
,-1.750,0.0551,,,,
,-1.500,0.0819,,,,
,-1.250,0.1087,,,,
,-1.000,0.1353,,,,
,-0.750,0.1615,,,,
,-0.500,0.1875,,,,
,-0.250,0.2123,,,,
,0.000,0.2341,,,,
,0.250,0.2592,,,,
,0.500,0.2995,,,,
,0.750,0.3336,,,,
,1.000,0.3593,,,,
,1.250,0.3851,,,,
,1.500,0.4108,,,,
,1.750,0.4368,,,,
,2.000,0.4629,,,,
,2.250,0.4888,,,,
,2.500,0.5148,,,,
,2.750,0.5404,,,,
,3.000,0.5646,,,,
,3.250,0.5883,,,,
,3.500,0.6121,,,,
,3.750,0.6370,,,,
,4.000,0.6631,,,,